CN,NAME,COUNTRY,GLIDER,FAI IGC,Flarm Id,
JS,Jan Zapletal,Czech Republic,LS-8,IGC profile,D004B4,
W8,Jaromír Macoun,Czech Republic,LS-8,IGC profile,D00160,
GX,Vít Mořkovský,Czech Republic,Discus 2a,IGC profile,D0016B,
MK,Jacob Bøgelund Lassen,Denmark,Discus 2a,IGC profile,DF0E33,
LS8,Mathias Valentin,Denmark,LS-8,IGC profile,DDF0B3,
SE,Miles Chalk Kjær,Denmark,LS-8,IGC profile,DDDE35,
HY,Nuutti Luukkonen,Finland,LS-8,IGC profile,DDDAA7,
S1,Johannes Dibbern,Germany,LS 8 Neo,IGC profile,3EEE8A,
GP,Philipp Lauer,Germany,LS-8 neo,IGC profile,DDFA01,NEW
SB,Simon Briel,Germany,Discus 2a,IGC profile,C30840,no track
VM,Ignas Bitinaitis,Lithuania,Discus 2a,IGC profile,DDE2EA,new
H8,Laurynas Šupinys,Lithuania,LS-8,IGC profile,DDEFEB,new
XK,Mark van den Ham,Netherlands,LS-8,IGC profile,DF213C,
TBA,Maurits Hebels,Netherlands,TBA,no profile,,
D2,Nick Faber,Netherlands,Discus 2b,IGC profile,D0040F,
LOT,Wiktor Czubski,Poland,LS-8,IGC profile,DDED9C,NO TRACK
SI,Viktoria Divokova,Slovakia,LS-8,IGC profile,,
95,Henry Inigo-Jones,United Kingdom,LS-8,IGC profile,D0155E,
235,Tom Pavis,United Kingdom,Discus 2a,IGC profile,D01377,
